RecyclerID,Company Name,Info,Status,Type,Address,District,State
8932,VOZON COMSOF PVT LTD,Recycler,Approved by CPCB Authority,Authorization,Survye No 19/9 Buchade wasti Near Indira Collage Road Marunjji Tal Mulshi dist  pune Pune Pune,Pune,MAHARASHTRA
199,WASTE PRO RECYCLING,Recycler,Approved by CPCB Authority,Authorization,"Khasra No 35 and 36, udayrampur Nangla DHAULANA Hapur Hapur",Hapur,UTTAR PRADESH
5325,WASTE RECYCLING STUDIO,Recycler,Approved by CPCB Authority,Authorization,"Plot No-347 ,Sector-3 ,Phase-2 IMT Bawal ,Rewari , Haryana, 123501 Bawal Rewari",Rewari,HARYANA
156,Wastetech Recycling Company,Recycler,Approved by CPCB Authority,Authorization,"HD-7, UPSIDC INDUSTRIAL AREA, SIKANDRABAD, Bulandshahar Bulandshahr",Bulandshahr,UTTAR PRADESH
7632,WB E Waste Control Management Pvt Ltd   ,Recycler,Approved by CPCB Authority,Authorization,173/205 Maheshrekha Kulgachia Tulsiberia Road Tulsigram Panchayat (Near Mahindra Howrah Howrah,Howrah,WEST BENGAL
105,WEEE PRO RESOURCE RECOVERY SOLUTIONS PRIVATE LIMITED,Recycler,Approved by CPCB Authority,Authorization,"Plot No. F-39, Industrial Area Sikandrabad, Gopalpur, Bulandshahr Sikandrabad Bulandshahr",Bulandshahr,UTTAR PRADESH
234,WEEE-PRO RESOURCE RECOVERY SOLUTIONS PRIVATE LIMITED,Recycler,Approved by CPCB Authority,Authorization,"E-24 INDUSTRIAL AREA, SIKANDRABAD Sikandrabad Bulandshahr",Bulandshahr,UTTAR PRADESH
5848,WESTERN RECYCLER,Recycler,Approved by CPCB Authority,Authorization,"PLOT NO 633,SURVEY NO 8-2 SHILPHATA PANVEL ROAD,AT POST DAHISER,DIST THANE AT POST DAHISER Thane",Thane,MAHARASHTRA
130,WE THE RECYCLING COMPANY,Recycler,Approved by CPCB Authority,Authorization,H.No 2212 Ambika City Road Borpada Bhiwandi  Bhiwandi Thane,Thane,MAHARASHTRA
9620,WORLD WIDE RECYCLERS,Recycler,Approved by CPCB Authority,Authorization,KHASRA NO 745 HAPUR ROAD ALLIPUR JIJMANA INDUSTRIAL AREA MEERUT Meerut,Meerut,UTTAR PRADESH
2565158,ZASHA ELECTROWASTE RECYCLING PVT LTD,Recycler,Pending at CPCB,Authorization,"SECTOR-3, 208, SHATABDI NAGAR, DELHI ROAD, MEERUT, UTTAR PRADESH  MEERUT Meerut",Meerut,UTTAR PRADESH
103,Z Enviro Industries Pvt. Ltd.,Recycler,Approved by CPCB Authority,Authorization,"Plot No. 106 &amp; 107, Pulimamidi Village Kandukur Mandal Ranga Reddy District K.V.Rangareddy",K.V.Rangareddy,TELANGANA
