RecyclerID,Company Name,Info ,Status,Type,Address,District,State
5544,UNIVERSAL POWER SOLUTIONS,Recycler,Registration Granted,Authorization,"Khewat No. 120/113 Khatoni No. 148 Kh No 15, Killa No. 6/2/2, 3-10 Vill-Heerapur Sub-Tehsil- Mohna Ballabgarh, Ballabgarh, Faridabad, Haryana, 121004   FARIDABAD 121004",Faridabad,HARYANA
2803131,URBAN EDGE ENVIRONMENT PRIVATE LIMITED,Recycler,Registration Granted,Authorization,"KHASRA NO 23, RUKANDDINPUR MISHRI URF PHAPHUNDA, HAPUR ROAD   MEERUT 250002",Meerut,UTTAR PRADESH
173,VANS CHEMISTRY PVT LTD,Recycler,Registration Granted,Authorization,"94/5, 13 &amp;14, SSR Layout, Kannahalli, Seegehalli, Magadi Road  Bangalore 560112",Bangalore,KARNATAKA
115,VIROGREEN INDIA PRIVATE LIMITED,Recycler,Registration Granted,Authorization,"S.NO.297/1B-2, NO.49, PAPPANKUPPAM VILLAGE S.R.KANDIGAI ROAD  GUMMIDIPOONDI 601201",Tiruvallur,TAMIL NADU
21680,Vorgoo Recycling Private Limited,Recycler,Registration Granted,Authorization,Plot No 214 sector 3 IMT Bawal Bawal Rewari  Bawal 123401,Rewari,HARYANA
8932,VOZON COMSOF PVT LTD,Recycler,Registration Granted,Authorization,Survye No 19/9 Buchade wasti Near Indira Collage Road Marunjji Tal Mulshi dist  pune  Pune 411057,Pune,MAHARASHTRA
199,WASTE PRO RECYCLING,Recycler,Registration Granted,Authorization,"Khasra No 35 and 36, udayrampur Nangla DHAULANA  Hapur 201015",Hapur,UTTAR PRADESH
5325,WASTE RECYCLING STUDIO,Recycler,Registration Granted,Authorization,"Plot No-347 ,Sector-3 ,Phase-2 IMT Bawal ,Rewari , Haryana, 123501  Bawal 123501",Rewari,HARYANA
156,Wastetech Recycling Company,Recycler,Registration Granted,Authorization,"HD-7, UPSIDC INDUSTRIAL AREA, SIKANDRABAD,  Bulandshahar 203206",Bulandshahr,UTTAR PRADESH
7632,WB E Waste Control Management Pvt Ltd   ,Recycler,Registration Granted,Authorization,173/205 Maheshrekha Kulgachia Tulsiberia Road Tulsigram Panchayat (Near Mahindra  Howrah 711306,Howrah,WEST BENGAL
105,WEEE PRO RESOURCE RECOVERY SOLUTIONS PRIVATE LIMITED,Recycler,Registration Granted,Authorization,"Plot No. F-39, Industrial Area Sikandrabad, Gopalpur, Bulandshahr  Sikandrabad 203001",Bulandshahr,UTTAR PRADESH
234,WEEE-PRO RESOURCE RECOVERY SOLUTIONS PRIVATE LIMITED,Recycler,Registration Granted,Authorization,"E-24 INDUSTRIAL AREA, SIKANDRABAD  Sikandrabad 203205",Bulandshahr,UTTAR PRADESH
5848,WESTERN RECYCLER,Recycler,Registration Granted,Authorization,"PLOT NO 633,SURVEY NO 8-2 SHILPHATA PANVEL ROAD,AT POST DAHISER,DIST THANE  AT POST DAHISER 400612",Thane,MAHARASHTRA
130,WE THE RECYCLING COMPANY,Recycler,Registration Granted,Authorization,H.No 2212 Ambika City Road Borpada Bhiwandi   Bhiwandi 421302,Thane,MAHARASHTRA
9620,WORLD WIDE RECYCLERS,Recycler,Registration Granted,Authorization,KHASRA NO 745 HAPUR ROAD ALLIPUR JIJMANA INDUSTRIAL AREA  MEERUT 250002,Meerut,UTTAR PRADESH
103,Z Enviro Industries Pvt. Ltd.,Recycler,Registration Granted,Authorization,"Plot No. 106 &amp; 107, Pulimamidi Village Kandukur Mandal  Ranga Reddy District 501359",K.V.Rangareddy,TELANGANA
