RefurbisherID,Company Name,Info ,Status,Type,Address,District,State
1506305,HAQ PROCESSING PRIVATE LIMITED,Refurbisher,Pending at applicant,Authorization,"SR NO 200, GALA NO. C/6, DATAR INDUSTRIAL ESTATE PALGHAR, VASAI, VASAI Palghar",Palghar,MAHARASHTRA
1305301,HSA GREEN IT E-WASTE,Refurbisher,Pending at applicant,Authorization,"Survey No. 113/135, Shop No. 22, Near Marathi School, Thakurpada, Tal & Dist Thane  Thane Thane",Thane,MAHARASHTRA
35561,Justdispose Recycling Pvt Ltd,Refurbisher,Pending at applicant,Authorization,42 5 Kaddu Ind estate Near Jasraj Ind Estate Sativali Fata Vasai East Dist Palghar Vasai East Thane,Thane,MAHARASHTRA
537932,Masstech Recycling LLP,Refurbisher,Pending at applicant,Authorization,"Gala No 56,58,59 & 82,CTS No 118 MJK Compound, Khairani Road, Saki Naka, Andheri Andheri East Mumbai",Mumbai,MAHARASHTRA
38248,Moonlaxmi-E-Waste & Recycling Solutions LLP,Refurbisher,Pending at applicant,Authorization,"Plot No 1125, Sr. No. 15/1/1, Arihant Marg, Near Sukhada Vardha Society, Sukhasagar Nagar, Katraj, Haweli, District Pune – 411046 Katraj, Haweli Pune",Pune,MAHARASHTRA
67181,M/S Kesariya Metal Corporation,Refurbisher,Pending at applicant,Authorization,"Gat No 147, Mahalunge, Chakan Shed No 1 ,Taluka Khed, Dist – Pune – 410501 Taluka Khed, Dist – Pune Pune",Pune,MAHARASHTRA
849893,M/s MEHER WASTE SOLUTIONS,Refurbisher,Pending at applicant,Authorization,CTS NO 7533 Sr No 130 Hissa No 33 Panama Motor Compound Shastri Nagar Air India Road Kalina Santacruz Kurla Mumbai Suburban 400029 Mumbai Pune,Pune,MAHARASHTRA
1428082,M/s Pranam Enterproses,Refurbisher,Pending at applicant,Authorization,"SR NO 286/1/6, NEXT TO BADHE WAREHOUSE, VILL URULI- DEVACHI TALIKA - HAVELI PUNE PUNE PUNE Pune",Pune,MAHARASHTRA
13611,Muskmelon Envtech Pvt Ltd,Refurbisher,Pending at applicant,Authorization,"GROUND FLOOR Dev Warehousing GODOWN NO D-4 and D-5 Survey Number 1354 GAT NUMBER 3673, SAI SATYAM NAGAR, NAGAR ROAD, WAGHOLI Pune Pune",Pune,MAHARASHTRA
651576,Pegasus Waste Management Pvt Ltd,Refurbisher,Pending at applicant,Authorization,"KHATA NO 781, RECT NO. 125, KILA NO 16/2,17/2,24/2,2, KHEAWT NO. 654/617MIN,rECT NO. 126, KILA NO.20 BINOLA, BHORAKALAN INDUSTRIAL AREA GURUGRAM Gurgaon",Gurgaon,HARYANA
