RefurbisherID,Company Name,Info,Status,Type,Address,District,State
1545159,M/s Sultan Disposal Stores,Refurbisher,Approved by CPCB Authority,Amendment,Sr No 28/2A/B Undri Opp R Point Pune Saswad Road Tal Haveli Dist Pune 411028 Pune,Pune,MAHARASHTRA
13611,Muskmelon Envtech Pvt Ltd,Refurbisher,Pending at applicant,Amendment,"GROUND FLOOR Dev Warehousing GODOWN NO D-4 and D-5 Survey Number 1354 GAT NUMBER 3673, SAI SATYAM NAGAR, NAGAR ROAD, WAGHOLI Pune",Pune,MAHARASHTRA
636648,My Return Solutions Private Limited,Refurbisher,Approved by CPCB Authority,Amendment,"No. 52, 1st Floor, JC Industrial Layout, Yelachenahalli, Kanakapura Road, Bangalore 560 061 JC Industrial Layout, Yelachenahalli Bangalore",Bangalore,KARNATAKA
651576,Pegasus Waste Management Pvt Ltd,Refurbisher,Pending at applicant,Amendment,"KHATA NO 781, RECT NO. 125, KILA NO 16/2,17/2,24/2,2, KHEAWT NO. 654/617MIN,rECT NO. 126, KILA NO.20 BINOLA, BHORAKALAN INDUSTRIAL AREA GURUGRAM",Gurgaon,HARYANA
809385,POONA E WASTE SOLUTIONS,Refurbisher,Pending at applicant,Amendment,Sr No 322/2 Near Hotel Green Hills Uruli Devachi Tal Haveli Dist Pune 412308 Pune,Pune,MAHARASHTRA
59236,PRABHUNATH TRADERS,Refurbisher,Pending at applicant,Amendment,"survey number 314, hissa no 2, uruli devachi, taluka haveli, dist pune  pune",Pune,MAHARASHTRA
33758,PROPLANET RECYCLERS LLP,Refurbisher,Approved by CPCB Authority,Amendment,"Plot No. 285-E, Sy.No. 25(p), Yandrakayipura Village,  Narasapura Hobli, Kolar Taluk & District  Kolar",Kolar,KARNATAKA
1648296,P U STEEL & ELECTRO PROCESS PRIVATE LIMITED,Refurbisher,Approved by CPCB Authority,Amendment,Ruiya Industrial Complex Patulia Khardaha,North 24 Parganas,WEST BENGAL
37070,Puthur Infotech Private Limited,Refurbisher,Approved by CPCB Authority,Amendment,"1st Floor, No 55,, 5th Cross, Banasawadi Main Road, Banasawadi Bengaluru Urban, Karnataka, 560043 Bengaluru",Bangalore,KARNATAKA
6867,RAMKY ARM RECYCLING PRIVATE LIMITED,Refurbisher,Pending at applicant,Amendment,"Sy. No. 28 Plot No. 6 , KIADB Industrial Area, Lakshmipura , Nelamangala Taluk, Bengaluru Rural District Dobaspet III Phase I.A Somapura , DOBASPET, Nelamangala Laxmanpura, Thyamagondlu Hobli",Bangalore Rural,KARNATAKA
967935,RECYCLE MITRA ECO CARE LLP,Refurbisher,Pending at applicant,Amendment,"Plot No. A-368, Floor No. 1 Wagle Industrial Estate, Tal. & Dist. Thane Thane",Thane,MAHARASHTRA
48219,Resource E Waste Solutions Private Limited,Refurbisher,Pending at applicant,Amendment,"F-97, INDUSTRIAL AREA, , HARIDWAR, Haridwar  BAHADRABAD",Haridwar,UTTARAKHAND
16,Re Sustainability Reldan Refining Private Limited,Refurbisher,Pending at applicant,Amendment,"Sy no 684/1 Dundigal village, Dundigal -Gandimaisamma Mandal Medchal-Malkajgiri Dt Hyderabad",Hyderabad,TELANGANA
16295,RIOT LABZ PRIVATE LIMITED,Refurbisher,Approved by CPCB Authority,Amendment,"B 29 Sector 88, Noida  Noida",Gautam Buddha Nagar,UTTAR PRADESH
2614235,RK ENTERPRISES,Refurbisher,Pending at applicant,Amendment,"SERVEY NO 47, H NO 1B1 GALA NO 04 NEXT TO VIPUL LODGE, TUBE MARKET VILLAGE DAHISAR MORI, PIMPRI PANVEL 400612 NAVI MUMBAI",Thane,MAHARASHTRA
671111,ROSHANI SCRAP CENTER,Refurbisher,Approved by CPCB Authority,Amendment,"Gat No 879, Nurani Masjid, Kudalwadi, Chikhali, Pune Pune",Pune,MAHARASHTRA
35229,Saahas Waste Management Pvt. Ltd,Refurbisher,Approved by CPCB Authority,Amendment,"Plot No: R-46, 5th cross, KSSIDC Industrial Estate, 2nd Phase, Jigani Bangalore",Bangalore,KARNATAKA
1118064,SADAB TRADERS,Refurbisher,Pending at applicant,Amendment,"Plot No. 1154, Gala No. B-3, Gat No. 140/2A/1, Village Vilholi, Behind Jain Temple  Tal & Dist. Nashik 422010 NASHIK",Nashik,MAHARASHTRA
41594,Sas Tech E Waste Recycling Solutions,Refurbisher,Approved by CPCB Authority,Amendment,Plot No G 286 Road No 1 RIICO Industrial Area Ratangarh,Churu,RAJASTHAN
1651449,S K Enterprises,Refurbisher,Approved by CPCB Authority,Amendment,"S. No. 77, Hissa No. 1 Hindustan Market, Daighar, Shil Phata Road Thane",Thane,MAHARASHTRA
2853999,S. K. ENTERPRISES,Refurbisher,Pending at applicant,Amendment,"SK Enterprises Plot no. 134/1, 183 Industrial Estate, Pune Road, Kedgaon, Industrial Estate Ahmednagar",Ahmed Nagar,MAHARASHTRA
12995,S N BROTHERS,Refurbisher,Pending at applicant,Amendment,"SURVEY NO 305,HISSA NO 1,DONGARIPADA,VARTAK COMPOUND,PELHAR TAL.VASAI,DIST.PALGHAR,Pelhar,Palghar-4012 08 PELHAR,VASAI",Thane,MAHARASHTRA
636476,SOGO SYNERGY PRIVATE LIMITED,Refurbisher,Pending at applicant,Amendment,"Plot No. SW17B, Appreal Park Phase II,Doddaballapur Industrial Area, Bangalore Rural Karnataka Bangalore",Bangalore Rural,KARNATAKA
2385569,SONAL METACOP,Refurbisher,Pending for approval at CPCB Authority,Amendment,"Sy no. 8/1, No. 5,5/1, Kachohalli Industrial Estate,Kachohalli, Bangalore -562123  Bangalore",Bangalore,KARNATAKA
